"variant","word","reference","cluster"
"syntax_without_four_analysis_labels","many_a",1,1
"syntax_without_four_analysis_labels","more",1,1
"syntax_without_four_analysis_labels","most",1,1
"syntax_without_four_analysis_labels","much",1,1
"syntax_without_four_analysis_labels","neither",1,2
"syntax_without_four_analysis_labels","last",1,1
"syntax_without_four_analysis_labels","next",1,1
"syntax_without_four_analysis_labels","no",1,1
"syntax_without_four_analysis_labels","none",1,2
"syntax_without_four_analysis_labels","nobody",1,2
"syntax_without_four_analysis_labels","no_one",1,2
"syntax_without_four_analysis_labels","nothing",1,2
"syntax_without_four_analysis_labels","nowhere",1,2
"syntax_without_four_analysis_labels","one_det",1,1
"syntax_without_four_analysis_labels","two_det",1,1
"syntax_without_four_analysis_labels","three_det",1,1
"syntax_without_four_analysis_labels","once",1,2
"syntax_without_four_analysis_labels","twice",1,2
"syntax_without_four_analysis_labels","thrice",1,2
"syntax_without_four_analysis_labels","several",1,1
"syntax_without_four_analysis_labels","some",1,1
"syntax_without_four_analysis_labels","somebody",1,2
"syntax_without_four_analysis_labels","someone",1,2
"syntax_without_four_analysis_labels","something",1,2
"syntax_without_four_analysis_labels","somewhere",1,2
"syntax_without_four_analysis_labels","somewhat",1,2
"syntax_without_four_analysis_labels","such",1,1
"syntax_without_four_analysis_labels","sufficient",1,1
"syntax_without_four_analysis_labels","that",1,1
"syntax_without_four_analysis_labels","these",1,1
"syntax_without_four_analysis_labels","this",1,1
"syntax_without_four_analysis_labels","those",1,1
"syntax_without_four_analysis_labels","the",1,1
"syntax_without_four_analysis_labels","us_det",1,1
"syntax_without_four_analysis_labels","we_det",1,1
"syntax_without_four_analysis_labels","you_det",1,1
"syntax_without_four_analysis_labels","what_det",1,1
"syntax_without_four_analysis_labels","whatever_det",1,1
"syntax_without_four_analysis_labels","which_rel_det",1,1
"syntax_without_four_analysis_labels","which_int_det",1,1
"syntax_without_four_analysis_labels","whichever_rel_det",1,1
"syntax_without_four_analysis_labels","whichever_int_det",1,1
"syntax_without_four_analysis_labels","zero_det",1,1
"syntax_without_four_analysis_labels","various_det",1,1
"syntax_without_four_analysis_labels","each_other",2,2
"syntax_without_four_analysis_labels","one_another",2,2
"syntax_without_four_analysis_labels","he",2,2
"syntax_without_four_analysis_labels","him",2,2
"syntax_without_four_analysis_labels","himself",2,2
"syntax_without_four_analysis_labels","his",2,1
"syntax_without_four_analysis_labels","she",2,2
"syntax_without_four_analysis_labels","her_acc",2,2
"syntax_without_four_analysis_labels","her_dep",2,1
"syntax_without_four_analysis_labels","hers",2,2
"syntax_without_four_analysis_labels","herself",2,2
"syntax_without_four_analysis_labels","it_plain",2,2
"syntax_without_four_analysis_labels","it_dum",2,2
"syntax_without_four_analysis_labels","its",2,1
"syntax_without_four_analysis_labels","itself",2,2
"syntax_without_four_analysis_labels","I",2,2
"syntax_without_four_analysis_labels","me",2,2
"syntax_without_four_analysis_labels","mine",2,2
