"fit_id","seed","objective","matched","ari","iterations","last_moves","selected"
"full__unique_profiles__sqrt_hamming__energy",35,28.648805865249,132,0.832434356035834,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",36,28.679220971495,124,0.63270356579792,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",37,28.6608897218159,122,0.58703181511815,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",38,28.6446788713274,128,0.729193117314019,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",39,28.673211021438,127,0.704424255453394,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",40,28.6425128730512,130,0.77996430590564,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",41,28.6817338029123,125,0.656186540594849,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",42,28.6658724059491,121,0.564825417741791,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",43,28.6446788713274,128,0.729193117314019,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",44,28.6658724059491,121,0.564825417741791,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",45,28.6732110214379,127,0.704424255453394,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",46,28.6817338029123,125,0.656186540594849,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",47,28.6432971845604,131,0.805989846809123,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",48,28.6732110214379,127,0.704424255453394,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",49,28.6573162809861,129,0.754358506849612,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",50,28.6742713040519,127,0.704430130020303,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",51,28.673211021438,127,0.704424255453394,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",52,28.6465023253648,129,0.75436664356095,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",53,28.6432971845605,131,0.805989846809123,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",54,28.6465023253646,129,0.75436664356095,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",55,28.6513989703287,128,0.72920119024141,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",56,28.6556797727574,128,0.729182352662061,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",57,28.679220971495,124,0.63270356579792,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",58,28.6658724059492,121,0.564825417741791,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",59,28.6488058652491,132,0.832434356035834,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",60,28.6817338029124,125,0.656186540594849,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",61,28.7815748937609,115,0.440577612821402,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",62,28.6659878359403,124,0.632718165357138,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",63,28.6556797727572,128,0.729182352662061,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",64,28.6446788713273,128,0.729193117314019,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",65,28.6432971845604,131,0.805989846809123,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",66,28.7963394084169,120,0.543013385467406,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",67,28.6395529733022,124,0.632742495376833,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",68,28.6432971845604,131,0.805989846809123,8,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",69,28.644400622494,123,0.609691204220982,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",70,28.6488058652491,132,0.832434356035834,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",71,28.6573162809862,129,0.754358506849612,4,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",72,28.6472187509134,131,0.805985990857994,3,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",73,28.6432971845603,131,0.805989846809123,2,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",74,28.6395529733021,124,0.632742495376833,2,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",75,28.6488058652491,132,0.832434356035834,5,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",76,28.654703400823,127,0.704443836435021,2,0,FALSE
"full__unique_profiles__sqrt_hamming__energy",77,28.6556797727572,128,0.729182352662061,3,0,FALSE
