"spec_id","scope","feature_set","weighting","distance","method","k","max_k_examined","silhouette","ari"
"no_components__equal_domains__hamming__average","core","no_components","equal_domains","hamming","average",7,8,0.361990409321254,0.444581409301274
"no_components__equal_domains__hamming__average","core","no_components","equal_domains","hamming","average",8,8,0.363633088053286,0.449656316554852
"no_components__equal_domains__jaccard__pam","core","no_components","equal_domains","jaccard","pam",2,8,0.220020667988305,0.609652418061975
"no_components__equal_domains__jaccard__pam","core","no_components","equal_domains","jaccard","pam",3,8,0.189945361259044,0.370436172976217
"no_components__equal_domains__jaccard__pam","core","no_components","equal_domains","jaccard","pam",4,8,0.181646511469244,0.359607775604253
"no_components__equal_domains__jaccard__pam","core","no_components","equal_domains","jaccard","pam",5,8,0.20802698154528,0.346910612456753
"no_components__equal_domains__jaccard__pam","core","no_components","equal_domains","jaccard","pam",6,8,0.185712631456436,0.266452445236138
"no_components__equal_domains__jaccard__pam","core","no_components","equal_domains","jaccard","pam",7,8,0.213086916993644,0.243344214782313
"no_components__equal_domains__jaccard__pam","core","no_components","equal_domains","jaccard","pam",8,8,0.225255520488498,0.242840750542373
"no_components__equal_domains__jaccard__average","core","no_components","equal_domains","jaccard","average",2,8,0.220254073723858,0.609644659905124
"no_components__equal_domains__jaccard__average","core","no_components","equal_domains","jaccard","average",3,8,0.205213156227433,0.574569599591598
"no_components__equal_domains__jaccard__average","core","no_components","equal_domains","jaccard","average",4,8,0.22990767341039,0.54135277916024
"no_components__equal_domains__jaccard__average","core","no_components","equal_domains","jaccard","average",5,8,0.213934231440567,0.542197496530426
"no_components__equal_domains__jaccard__average","core","no_components","equal_domains","jaccard","average",6,8,0.197916049930532,0.542194461063049
"no_components__equal_domains__jaccard__average","core","no_components","equal_domains","jaccard","average",7,8,0.221125149270221,0.417002038268714
"no_components__equal_domains__jaccard__average","core","no_components","equal_domains","jaccard","average",8,8,0.236491084999184,0.274084528218821
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components","unique_profiles","sqrt_hamming","pam",2,8,0.142051495916459,0.366128962429392
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components","unique_profiles","sqrt_hamming","pam",3,8,0.103924099539799,0.330965581516933
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components","unique_profiles","sqrt_hamming","pam",4,8,0.107418508706303,0.303944158852468
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components","unique_profiles","sqrt_hamming","pam",5,8,0.130382508653806,0.307434124864161
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components","unique_profiles","sqrt_hamming","pam",6,8,0.147339308657588,0.263291460671026
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components","unique_profiles","sqrt_hamming","pam",7,8,0.15581872668448,0.243931002272079
"no_components__unique_profiles__sqrt_hamming__pam","core","no_components","unique_profiles","sqrt_hamming","pam",8,8,0.16885388096902,0.223685469473144
"no_components__unique_profiles__sqrt_hamming__average","core","no_components","unique_profiles","sqrt_hamming","average",2,8,0.146435885171138,0.754356879442656
"no_components__unique_profiles__sqrt_hamming__average","core","no_components","unique_profiles","sqrt_hamming","average",3,8,0.139159985545491,0.656716725529334
"no_components__unique_profiles__sqrt_hamming__average","core","no_components","unique_profiles","sqrt_hamming","average",4,8,0.132904575761742,0.681886278425476
"no_components__unique_profiles__sqrt_hamming__average","core","no_components","unique_profiles","sqrt_hamming","average",5,8,0.152789609648271,0.586849387552212
"no_components__unique_profiles__sqrt_hamming__average","core","no_components","unique_profiles","sqrt_hamming","average",6,8,0.161961926212651,0.376955525124723
"no_components__unique_profiles__sqrt_hamming__average","core","no_components","unique_profiles","sqrt_hamming","average",7,8,0.179280261477757,0.305452921500489
"no_components__unique_profiles__sqrt_hamming__average","core","no_components","unique_profiles","sqrt_hamming","average",8,8,0.181060162522399,0.302900292923836
